"Morning Ride","Had a fantastic morning ride through the countryside!",1,"Sport;Adventure"
"Urban Commute Tips","Sharing tips for hassle-free urban biking.",2,"Urban;Commuter"
"Mountain Adventure","Explored rugged trails with breathtaking views.",3,"Mountain;Trail;Adventure"
"Electric Bike Review","Reviewed the latest electric bikes.",4,"Electric;Urban"
"Custom Bike Build","Built my dream bike from scratch!",5,"Custom;Racing;Retro"
"Trailblazing Weekend","Went on an amazing trail ride this weekend.",1,"Trail;Sport;Adventure"
"Commuter Diaries","Daily commute stories and tips.",2,"Commuter;Urban"
"Speed Racing Experience","Experienced the thrill of speed racing!",3,"Racing;Sport"
"Retro Bike Love","Why retro bikes never go out of style.",4,"Retro;Custom"
"Weekend in the Mountains","My weekend ride through scenic mountains.",5,"Mountain;Adventure"
